Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,HRV,Section,Stressed
09:45:42,3108,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,3
09:45:43,3109,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,4
09:45:44,3110,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,4
09:45:45,3111,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,4
09:45:46,3112,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,4
09:45:47,3113,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,4
09:45:48,3114,372,126285.71428571428,7.918552036199096,66,909.0909090909091,rory_lab_8,4
09:45:49,3115,371,125248.22695035461,7.984144960362401,69,869.5652173913044,rory_lab_8,4
09:45:50,3116,371,125248.22695035461,7.984144960362401,69,869.5652173913044,rory_lab_8,4
09:45:51,3117,373,127338.12949640288,7.853107344632768,69,869.5652173913044,rory_lab_8,4
09:45:52,3118,371,125248.22695035461,7.984144960362401,81,740.7407407407408,rory_lab_8,4
09:45:53,3119,373,127338.12949640288,7.853107344632768,81,740.7407407407408,rory_lab_8,4
09:45:54,3120,372,126285.71428571428,7.918552036199096,81,740.7407407407408,rory_lab_8,4
09:45:55,3121,373,127338.12949640288,7.853107344632768,77,779.2207792207793,rory_lab_8,4
09:45:56,3122,373,127338.12949640288,7.853107344632768,77,779.2207792207793,rory_lab_8,3
09:45:57,3123,373,127338.12949640288,7.853107344632768,77,779.2207792207793,rory_lab_8,3
09:45:58,3124,373,127338.12949640288,7.853107344632768,77,779.2207792207793,rory_lab_8,3
09:45:59,3125,372,126285.71428571428,7.918552036199096,77,779.2207792207793,rory_lab_8,3
09:46:00,3126,374,128405.79710144928,7.787810383747178,77,779.2207792207793,rory_lab_8,3
09:46:01,3127,373,127338.12949640288,7.853107344632768,77,779.2207792207793,rory_lab_8,2
09:46:02,3128,374,128405.79710144928,7.787810383747178,77,779.2207792207793,rory_lab_8,2
09:46:03,3129,374,128405.79710144928,7.787810383747178,77,779.2207792207793,rory_lab_8,2
09:46:04,3130,374,128405.79710144928,7.787810383747178,74,810.8108108108108,rory_lab_8,2
09:46:05,3131,374,128405.79710144928,7.787810383747178,74,810.8108108108108,rory_lab_8,2
09:46:06,3132,374,128405.79710144928,7.787810383747178,74,810.8108108108108,rory_lab_8,2
