Time (hr:min:sec),Time (s),Serial data,Resistance
9:08:18,2298,288,71428.57143
9:08:19,2299,288,71428.57143
9:08:20,2300,289,71838.56502
9:08:21,2301,287,71022.22222
9:08:22,2302,288,71428.57143
9:08:23,2303,288,71428.57143
9:08:24,2304,287,71022.22222
9:08:25,2305,290,72252.25225
9:08:26,2306,289,71838.56502
9:08:27,2307,289,71838.56502
9:08:28,2308,289,71838.56502
9:08:29,2309,295,74377.88018
9:08:30,2310,296,74814.81481
9:08:31,2311,294,73944.95413
9:08:32,2312,290,72252.25225
9:08:33,2313,288,71428.57143
9:08:34,2314,257,60313.72549
9:08:35,2315,281,68658.00866
9:08:36,2316,297,75255.81395
9:08:37,2317,253,59073.35907
9:08:38,2318,261,61593.6255
9:08:39,2319,289,71838.56502
9:08:40,2320,299,76150.23474
9:08:41,2321,299,76150.23474
9:08:42,2322,295,74377.88018
9:08:43,2323,296,74814.81481
9:08:44,2324,303,77990.43062
9:08:45,2325,300,76603.77358
9:08:46,2326,296,74814.81481
9:08:47,2327,295,74377.88018
9:08:48,2328,295,74377.88018
9:08:49,2329,292,73090.90909
9:08:50,2330,292,73090.90909
9:08:51,2331,293,73515.98174
9:08:52,2332,293,73515.98174
9:08:53,2333,299,76150.23474
9:08:54,2334,296,74814.81481
9:08:55,2335,306,79417.47573
9:08:56,2336,322,87789.47368
9:08:57,2337,334,95056.17978
9:08:58,2338,313,82914.57286
9:08:59,2339,311,81890.54726
9:09:00,2340,306,79417.47573
9:09:01,2341,310,81386.13861
9:09:02,2342,306,79417.47573
9:09:03,2343,305,78937.19807
9:09:04,2344,307,79902.43902
9:09:05,2345,323,88359.78836
9:09:06,2346,387,143840
9:09:07,2347,316,84489.79592
9:09:08,2348,297,75255.81395
9:09:09,2349,319,86113.98964
9:09:10,2350,259,60948.6166
9:09:11,2351,207,47147.54098
9:09:12,2352,313,82914.57286
9:09:13,2353,361,115629.1391
9:09:14,2354,271,64979.25311
9:09:15,2355,261,61593.6255
9:09:16,2356,276,66779.66102
9:09:17,2357,275,66413.50211
9:09:18,2358,274,66050.42017
9:09:19,2359,280,68275.86207
9:09:20,2360,279,67896.99571
9:09:21,2361,277,67148.93617
9:09:22,2362,281,68658.00866
9:09:23,2363,278,67521.36752
9:09:24,2364,280,68275.86207
9:09:25,2365,279,67896.99571
9:09:26,2366,278,67521.36752
9:09:27,2367,278,67521.36752
9:09:28,2368,276,66779.66102
9:09:29,2369,276,66779.66102
9:09:30,2370,276,66779.66102
9:09:31,2371,277,67148.93617
9:09:32,2372,276,66779.66102
9:09:33,2373,276,66779.66102
9:09:34,2374,276,66779.66102
9:09:35,2375,276,66779.66102
9:09:36,2376,276,66779.66102
9:09:37,2377,276,66779.66102
9:09:38,2378,276,66779.66102
9:09:39,2379,276,66779.66102
9:09:40,2380,276,66779.66102
9:09:41,2381,276,66779.66102
9:09:42,2382,275,66413.50211
9:09:43,2383,276,66779.66102
9:09:44,2384,275,66413.50211
9:09:45,2385,277,67148.93617
9:09:46,2386,276,66779.66102
9:09:47,2387,276,66779.66102
9:09:48,2388,275,66413.50211
9:09:49,2389,276,66779.66102
9:09:50,2390,276,66779.66102
9:09:51,2391,277,67148.93617
9:09:52,2392,287,71022.22222
9:09:53,2393,251,58467.43295
9:09:54,2394,277,67148.93617
9:09:55,2395,280,68275.86207
9:09:56,2396,275,66413.50211
9:09:57,2397,275,66413.50211
9:09:58,2398,273,65690.37657
9:09:59,2399,272,65333.33333
9:10:00,2400,272,65333.33333
9:10:01,2401,272,65333.33333
9:10:02,2402,272,65333.33333
9:10:03,2403,274,66050.42017
9:10:04,2404,273,65690.37657
9:10:05,2405,273,65690.37657
9:10:06,2406,274,66050.42017
9:10:07,2407,275,66413.50211
9:10:08,2408,275,66413.50211
9:10:09,2409,275,66413.50211
9:10:10,2410,277,67148.93617
9:10:11,2411,276,66779.66102
9:10:12,2412,275,66413.50211
9:10:13,2413,276,66779.66102
9:10:14,2414,275,66413.50211
9:10:15,2415,274,66050.42017
9:10:16,2416,274,66050.42017
9:10:17,2417,275,66413.50211
9:10:18,2418,273,65690.37657
9:10:19,2419,273,65690.37657
9:10:20,2420,273,65690.37657
9:10:21,2421,272,65333.33333
9:10:22,2422,272,65333.33333
9:10:23,2423,274,66050.42017
9:10:24,2424,274,66050.42017
9:10:25,2425,273,65690.37657
9:10:26,2426,273,65690.37657
9:10:27,2427,274,66050.42017
9:10:28,2428,274,66050.42017
9:10:29,2429,273,65690.37657
9:10:30,2430,274,66050.42017
9:10:31,2431,274,66050.42017
9:10:32,2432,274,66050.42017
9:10:33,2433,274,66050.42017
9:10:34,2434,274,66050.42017
9:10:35,2435,274,66050.42017
9:10:36,2436,274,66050.42017
9:10:37,2437,274,66050.42017
9:10:38,2438,274,66050.42017
9:10:39,2439,274,66050.42017
9:10:40,2440,274,66050.42017
9:10:41,2441,273,65690.37657
9:10:42,2442,274,66050.42017
9:10:43,2443,274,66050.42017
9:10:44,2444,274,66050.42017
9:10:45,2445,275,66413.50211
9:10:46,2446,275,66413.50211
9:10:47,2447,276,66779.66102
9:10:48,2448,276,66779.66102
9:10:49,2449,277,67148.93617
9:10:50,2450,276,66779.66102
9:10:51,2451,276,66779.66102
9:10:52,2452,276,66779.66102
9:10:53,2453,276,66779.66102
9:10:54,2454,278,67521.36752
9:10:55,2455,279,67896.99571
9:10:56,2456,277,67148.93617
9:10:57,2457,276,66779.66102
9:10:58,2458,275,66413.50211
9:10:59,2459,275,66413.50211
9:11:00,2460,275,66413.50211
9:11:01,2461,274,66050.42017
9:11:02,2462,275,66413.50211
9:11:03,2463,275,66413.50211
9:11:04,2464,275,66413.50211
9:11:05,2465,275,66413.50211
9:11:06,2466,276,66779.66102
9:11:07,2467,277,67148.93617
9:11:08,2468,277,67148.93617
9:11:09,2469,278,67521.36752
9:11:10,2470,277,67148.93617
9:11:11,2471,277,67148.93617
9:11:12,2472,277,67148.93617
9:11:13,2473,276,66779.66102
9:11:14,2474,277,67148.93617
9:11:15,2475,277,67148.93617
9:11:16,2476,277,67148.93617
9:11:17,2477,279,67896.99571
9:11:18,2478,278,67521.36752
9:11:19,2479,278,67521.36752
9:11:20,2480,278,67521.36752
9:11:21,2481,277,67148.93617
9:11:22,2482,276,66779.66102
9:11:23,2483,276,66779.66102
9:11:24,2484,277,67148.93617
9:11:25,2485,277,67148.93617
9:11:26,2486,278,67521.36752
9:11:27,2487,277,67148.93617
9:11:28,2488,277,67148.93617
9:11:29,2489,278,67521.36752
9:11:30,2490,278,67521.36752
9:11:31,2491,278,67521.36752
9:11:32,2492,279,67896.99571
9:11:33,2493,278,67521.36752
9:11:34,2494,279,67896.99571
9:11:35,2495,278,67521.36752
9:11:36,2496,278,67521.36752
9:11:37,2497,278,67521.36752
9:11:38,2498,279,67896.99571
9:11:39,2499,288,71428.57143
9:11:40,2500,291,72669.68326
9:11:41,2501,285,70220.26432
9:11:42,2502,281,68658.00866
9:11:43,2503,283,69432.31441
9:11:44,2504,284,69824.5614
9:11:45,2505,281,68658.00866
9:11:46,2506,279,67896.99571
9:11:47,2507,277,67148.93617
9:11:48,2508,277,67148.93617
9:11:49,2509,276,66779.66102
9:11:50,2510,277,67148.93617
9:11:51,2511,280,68275.86207
9:11:52,2512,280,68275.86207
9:11:53,2513,281,68658.00866
9:11:54,2514,280,68275.86207
9:11:55,2515,281,68658.00866
9:11:56,2516,281,68658.00866
9:11:57,2517,280,68275.86207
9:11:58,2518,280,68275.86207
9:11:59,2519,280,68275.86207
9:12:00,2520,280,68275.86207
9:12:01,2521,280,68275.86207
9:12:02,2522,280,68275.86207
9:12:03,2523,280,68275.86207
9:12:04,2524,280,68275.86207
9:12:05,2525,280,68275.86207
9:12:06,2526,280,68275.86207
9:12:07,2527,280,68275.86207
9:12:08,2528,280,68275.86207
9:12:09,2529,280,68275.86207
9:12:10,2530,280,68275.86207
9:12:11,2531,280,68275.86207
9:12:12,2532,280,68275.86207
9:12:13,2533,281,68658.00866
9:12:14,2534,280,68275.86207
9:12:15,2535,282,69043.47826
9:12:16,2536,282,69043.47826
9:12:17,2537,281,68658.00866
9:12:18,2538,281,68658.00866
9:12:19,2539,281,68658.00866
9:12:20,2540,282,69043.47826
9:12:21,2541,281,68658.00866
9:12:22,2542,282,69043.47826
9:12:23,2543,282,69043.47826
9:12:24,2544,282,69043.47826
9:12:25,2545,282,69043.47826
9:12:26,2546,282,69043.47826
9:12:27,2547,282,69043.47826
9:12:28,2548,282,69043.47826
9:12:29,2549,283,69432.31441
9:12:30,2550,283,69432.31441
9:12:31,2551,297,75255.81395
9:12:32,2552,296,74814.81481
9:12:33,2553,301,77061.61137
9:12:34,2554,293,73515.98174
9:12:35,2555,289,71838.56502
9:12:36,2556,284,69824.5614
9:12:37,2557,283,69432.31441
9:12:38,2558,282,69043.47826
9:12:39,2559,281,68658.00866
9:12:40,2560,280,68275.86207
9:12:41,2561,279,67896.99571
9:12:42,2562,284,69824.5614
9:12:43,2563,286,70619.46903
9:12:44,2564,288,71428.57143
9:12:45,2565,283,69432.31441
9:12:46,2566,284,69824.5614
9:12:47,2567,283,69432.31441
9:12:48,2568,284,69824.5614
9:12:49,2569,286,70619.46903
9:12:50,2570,287,71022.22222
9:12:51,2571,287,71022.22222
9:12:52,2572,287,71022.22222
9:12:53,2573,286,70619.46903
9:12:54,2574,287,71022.22222
9:12:55,2575,287,71022.22222
9:12:56,2576,287,71022.22222
9:12:57,2577,287,71022.22222
9:12:58,2578,287,71022.22222
9:12:59,2579,286,70619.46903
9:13:00,2580,286,70619.46903
9:13:01,2581,286,70619.46903
9:13:02,2582,286,70619.46903
9:13:03,2583,285,70220.26432
9:13:04,2584,286,70619.46903
9:13:05,2585,286,70619.46903
9:13:06,2586,286,70619.46903
9:13:07,2587,286,70619.46903
9:13:08,2588,286,70619.46903
9:13:09,2589,286,70619.46903
9:13:10,2590,286,70619.46903
9:13:11,2591,285,70220.26432
9:13:12,2592,285,70220.26432
9:13:13,2593,286,70619.46903
9:13:14,2594,285,70220.26432
9:13:15,2595,285,70220.26432
9:13:16,2596,286,70619.46903
9:13:17,2597,286,70619.46903
9:13:18,2598,286,70619.46903
9:13:19,2599,286,70619.46903
9:13:20,2600,285,70220.26432
9:13:21,2601,286,70619.46903
9:13:22,2602,287,71022.22222
9:13:23,2603,287,71022.22222
9:13:24,2604,287,71022.22222
9:13:25,2605,287,71022.22222
9:13:26,2606,286,70619.46903
9:13:27,2607,286,70619.46903
9:13:28,2608,287,71022.22222
9:13:29,2609,287,71022.22222
9:13:30,2610,287,71022.22222
9:13:31,2611,287,71022.22222
9:13:32,2612,287,71022.22222
9:13:33,2613,287,71022.22222
9:13:34,2614,288,71428.57143
9:13:35,2615,287,71022.22222
9:13:36,2616,287,71022.22222
9:13:37,2617,287,71022.22222
9:13:38,2618,288,71428.57143
9:13:39,2619,291,72669.68326
9:13:40,2620,289,71838.56502
9:13:41,2621,294,73944.95413
9:13:42,2622,290,72252.25225
9:13:43,2623,291,72669.68326
9:13:44,2624,290,72252.25225
9:13:45,2625,288,71428.57143
9:13:46,2626,295,74377.88018
9:13:47,2627,297,75255.81395
9:13:48,2628,298,75700.93458
9:13:49,2629,294,73944.95413
9:13:50,2630,292,73090.90909
9:13:51,2631,291,72669.68326
9:13:52,2632,291,72669.68326
9:13:53,2633,290,72252.25225
9:13:54,2634,290,72252.25225
9:13:55,2635,289,71838.56502
9:13:56,2636,292,73090.90909
9:13:57,2637,291,72669.68326
9:13:58,2638,291,72669.68326
9:13:59,2639,291,72669.68326
9:14:00,2640,291,72669.68326
9:14:01,2641,291,72669.68326
9:14:02,2642,291,72669.68326
9:14:03,2643,290,72252.25225
9:14:04,2644,290,72252.25225
9:14:05,2645,290,72252.25225
9:14:06,2646,290,72252.25225
9:14:07,2647,289,71838.56502
9:14:08,2648,296,74814.81481
9:14:09,2649,295,74377.88018
9:14:10,2650,291,72669.68326
9:14:11,2651,290,72252.25225
9:14:12,2652,290,72252.25225
9:14:13,2653,289,71838.56502
9:14:14,2654,290,72252.25225
9:14:15,2655,293,73515.98174
9:14:16,2656,293,73515.98174
9:14:17,2657,294,73944.95413
9:14:18,2658,293,73515.98174
9:14:19,2659,293,73515.98174
9:14:20,2660,294,73944.95413
9:14:21,2661,294,73944.95413
9:14:22,2662,294,73944.95413
9:14:23,2663,294,73944.95413
9:14:24,2664,295,74377.88018
9:14:25,2665,295,74377.88018
9:14:26,2666,295,74377.88018
9:14:27,2667,295,74377.88018
9:14:28,2668,295,74377.88018
9:14:29,2669,295,74377.88018
9:14:30,2670,296,74814.81481
9:14:31,2671,296,74814.81481
9:14:32,2672,295,74377.88018
9:14:33,2673,296,74814.81481
9:14:34,2674,295,74377.88018
9:14:35,2675,295,74377.88018
9:14:36,2676,295,74377.88018
9:14:37,2677,295,74377.88018
9:14:38,2678,295,74377.88018
9:14:39,2679,294,73944.95413
9:14:40,2680,295,74377.88018
9:14:41,2681,294,73944.95413
9:14:42,2682,294,73944.95413
9:14:43,2683,293,73515.98174
9:14:44,2684,293,73515.98174
9:14:45,2685,294,73944.95413
9:14:46,2686,294,73944.95413
9:14:47,2687,294,73944.95413
9:14:48,2688,295,74377.88018
9:14:49,2689,295,74377.88018
9:14:50,2690,295,74377.88018
9:14:51,2691,295,74377.88018
9:14:52,2692,295,74377.88018
9:14:53,2693,295,74377.88018
9:14:54,2694,295,74377.88018
9:14:55,2695,293,73515.98174
9:14:56,2696,295,74377.88018
9:14:57,2697,294,73944.95413
9:14:58,2698,294,73944.95413
9:14:59,2699,298,75700.93458
9:15:00,2700,298,75700.93458
9:15:01,2701,292,73090.90909
9:15:02,2702,296,74814.81481
9:15:03,2703,294,73944.95413
9:15:04,2704,301,77061.61137
9:15:05,2705,299,76150.23474
9:15:06,2706,295,74377.88018
9:15:07,2707,297,75255.81395
9:15:08,2708,308,80392.15686
9:15:09,2709,297,75255.81395
9:15:10,2710,300,76603.77358
9:15:11,2711,299,76150.23474
9:15:12,2712,298,75700.93458
9:15:13,2713,298,75700.93458
9:15:14,2714,299,76150.23474
9:15:15,2715,298,75700.93458
9:15:16,2716,299,76150.23474
9:15:17,2717,298,75700.93458
9:15:18,2718,299,76150.23474
9:15:19,2719,300,76603.77358
9:15:20,2720,301,77061.61137
9:15:21,2721,300,76603.77358
9:15:22,2722,301,77061.61137
9:15:23,2723,300,76603.77358
9:15:24,2724,300,76603.77358
9:15:25,2725,300,76603.77358
9:15:26,2726,300,76603.77358
9:15:27,2727,301,77061.61137
9:15:28,2728,298,75700.93458
9:15:29,2729,295,74377.88018
9:15:30,2730,295,74377.88018
9:15:31,2731,296,74814.81481
9:15:32,2732,295,74377.88018
9:15:33,2733,295,74377.88018
9:15:34,2734,296,74814.81481
9:15:35,2735,301,77061.61137
9:15:36,2736,301,77061.61137
9:15:37,2737,299,76150.23474
9:15:38,2738,298,75700.93458
9:15:39,2739,298,75700.93458
9:15:40,2740,298,75700.93458
9:15:41,2741,298,75700.93458
9:15:42,2742,297,75255.81395
9:15:43,2743,297,75255.81395
9:15:44,2744,298,75700.93458
9:15:45,2745,298,75700.93458
9:15:46,2746,298,75700.93458
9:15:47,2747,297,75255.81395
9:15:48,2748,297,75255.81395
9:15:49,2749,297,75255.81395
